City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Mondlo,ZA,-27.98,30.72,42.8,85,100,7.23
98,Gilgit,PK,35.92,74.31,74.43,36,0,1.05
99,Margate,GB,51.38,1.39,61.0,74,100,5.01
100,Chuy,UY,-33.7,-53.46,43.03,77,84,4.12
101,Xining,CN,36.62,101.77,53.22,69,12,2.08
102,Anadyr,RU,64.75,177.48,51.8,50,75,17.9
103,Narsaq,GL,60.92,-46.05,46.4,65,100,8.05
104,Tasiilaq,GL,65.61,-37.64,44.6,65,100,14.99
105,Yulara,AU,-25.24,130.99,64.4,39,0,18.34
106,Portland,US,45.52,-122.68,75.99,33,75,4.7
107,Mehamn,NO,71.04,27.85,44.53,77,17,11.03
108,Dunedin,NZ,-45.87,170.5,64.99,36,100,15.01
109,Carndonagh,IE,55.25,-7.27,52.07,78,100,4.09
110,Vaini,TO,-21.2,-175.2,80.6,78,75,19.46
111,Ucluelet,CA,48.93,-125.55,55.0,93,90,3.36
112,College,US,64.86,-147.8,68.0,37,20,11.41
113,Vardo,NO,70.37,31.11,47.52,75,72,12.75
114,Kahului,US,20.89,-156.47,89.6,43,40,29.97
115,Saint Anthony,US,45.02,-93.22,72.0,53,1,9.17
116,East London,ZA,-33.02,27.91,50.97,62,0,8.79
117,Carnarvon,AU,-24.87,113.63,62.6,100,0,1.12
118,Cortez,US,37.35,-108.59,82.4,20,1,8.05
119,Rawson,AR,-43.3,-65.1,43.7,62,0,12.77
120,Praia Da Vitoria,PT,38.73,-27.07,77.0,88,75,7.7
121,Thompson,CA,55.74,-97.86,53.6,100,75,3.36
122,Itarema,BR,-2.92,-39.92,78.28,76,0,16.46
123,Concarneau,FR,47.88,-3.92,50.0,93,40,4.7
124,Varzea Grande,BR,-15.65,-56.13,86.0,28,0,2.24
125,San Luis,AR,-33.3,-66.34,49.53,49,37,6.42
126,San Andres,CO,12.58,-81.7,82.4,83,40,5.82
127,Verkhnyaya Inta,RU,65.98,60.31,49.51,91,100,7.31
128,New Norfolk,AU,-42.78,147.06,46.99,66,82,1.99
129,Havoysund,NO,71.0,24.66,42.8,87,40,13.87
130,Ponta Do Sol,PT,32.67,-17.1,71.6,56,40,20.8
131,Naze,JP,28.37,129.48,87.8,79,75,19.46
132,Katsuura,JP,35.13,140.3,88.0,74,75,9.17
133,Bilma,NE,18.69,12.92,86.88,49,0,8.05
134,Karratha,AU,-20.74,116.85,85.91,20,39,10.45
135,Namibe,AO,-15.2,12.15,60.26,74,8,4.45
136,Sao Filipe,CV,14.9,-24.5,77.56,83,74,6.46
137,Ambilobe,MG,-13.2,49.05,66.22,88,30,4.36
138,Port Elizabeth,ZA,-33.92,25.57,44.6,81,0,6.93
139,Henties Bay,NA,-22.12,14.28,48.99,85,0,8.55
140,Ribeira Grande,PT,38.52,-28.7,74.66,93,9,7.14
141,Erzin,TR,36.96,36.2,77.0,91,0,5.99
142,Naryan-Mar,RU,67.67,53.09,50.68,97,100,3.47
143,Constitucion,CL,-35.33,-72.42,46.17,75,0,5.55
144,Meiganga,CM,6.52,14.3,65.57,96,96,3.24
145,Tuatapere,NZ,-46.13,167.68,60.82,53,1,16.62
146,Jumla,NP,29.27,82.18,61.29,68,13,2.55
147,Ouango,CF,4.31,22.56,68.54,92,100,1.45
148,Kamaishi,JP,39.27,141.88,68.0,88,75,1.12
149,Salinas,US,36.68,-121.66,66.2,72,40,12.75
150,Izvoarele Sucevei,RO,47.75,25.18,59.76,63,0,4.94
151,Avera,US,33.19,-82.53,82.4,94,1,3.36
152,Sampit,ID,-2.53,112.95,82.85,69,100,5.35
153,Sur,OM,22.57,59.53,83.93,61,3,5.26
154,Chicama,PE,-7.84,-79.15,61.38,81,82,6.55
155,Vung Tau,VN,10.35,107.08,82.51,80,79,8.16
156,Campbellton,CA,48.01,-66.67,49.41,92,100,7.43
157,Lorengau,PG,-2.02,147.27,82.96,83,83,13.65
158,Shimoda,JP,34.67,138.95,86.0,79,75,6.93
159,Lebu,CL,-37.62,-73.65,46.85,77,3,20.69
160,Mahibadhoo,MV,3.78,72.97,83.37,65,100,5.68
161,Mar Del Plata,AR,-38.0,-57.56,48.2,49,0,11.41
162,Tabou,CI,4.42,-7.35,75.15,82,100,10.2
163,Lompoc,US,34.64,-120.46,64.99,72,1,11.41
164,Shache,CN,38.42,77.24,60.33,42,0,2.42
165,Rorvik,NO,64.86,11.24,50.04,58,100,8.75
166,Nhulunbuy,AU,-12.23,136.77,82.4,69,75,17.22
167,Guerrero Negro,MX,27.98,-114.06,75.24,67,0,15.39
168,Prachuap Khiri Khan,TH,11.82,99.78,81.75,78,2,5.97
169,Arraial Do Cabo,BR,-22.97,-42.03,75.2,78,0,12.75
170,Tutoia,BR,-2.76,-42.27,80.44,74,0,17.13
171,Saldanha,ZA,-33.01,17.94,41.0,80,0,5.01
172,Provideniya,RU,64.38,-173.3,51.8,62,90,20.13
173,Inndyr,NO,67.03,14.03,44.6,87,75,6.93
174,Awjilah,LY,29.11,21.29,80.02,33,0,8.59
175,Garmsar,IR,35.22,52.34,67.01,43,0,6.15
176,Callaway,US,30.15,-85.57,81.0,78,40,5.82
177,Agen,FR,44.2,0.63,57.0,76,0,3.36
178,Yudong,CN,29.39,106.52,78.8,61,99,11.18
179,Puerto Ayacucho,VE,5.66,-67.62,72.59,89,91,2.77
180,Saint-Philippe,RE,-21.36,55.77,66.2,68,20,3.36
181,Hami,CN,42.8,93.45,72.19,22,0,10.56
182,Lalibela,ET,12.03,39.03,55.72,83,96,1.03
183,Altay,CN,47.87,88.12,62.71,45,0,2.3
184,Birao,CF,10.28,22.79,69.85,95,44,1.5
185,Kindu,CD,-2.95,25.95,71.46,92,89,1.54
186,Boa Vista,BR,2.82,-60.67,77.0,88,90,4.7
187,Chapais,CA,49.78,-74.85,51.8,76,75,3.36
188,Radcliff,US,37.84,-85.95,73.4,73,90,6.93
189,Sechelt,CA,49.47,-123.77,59.0,91,100,1.77
190,Georgetown,MY,5.41,100.34,80.6,94,20,2.24
191,Port Hardy,CA,50.7,-127.42,53.6,100,90,8.05
192,Norman Wells,CA,65.28,-126.83,64.4,45,75,12.75
193,Carnot,CF,4.94,15.87,70.07,93,98,0.6
194,Leningradskiy,RU,69.38,178.42,36.64,91,100,5.53
195,Saint-Augustin,CA,51.23,-58.65,52.23,72,100,18.66
196,Abu Samrah,SY,35.3,37.18,74.25,29,0,4.36
197,Sonari,IN,27.07,95.03,77.0,94,75,3.36
198,Liverpool,GB,53.41,-2.98,50.0,87,0,4.7
199,Pyay,MM,18.82,95.22,79.54,89,100,4.05
200,Hasaki,JP,35.73,140.83,84.0,83,75,11.41
201,Vao,NC,-22.67,167.48,67.33,65,100,14.09
202,Malanville,BJ,11.87,3.39,74.25,90,100,4.81
203,Meulaboh,ID,4.14,96.13,78.21,87,100,4.36
204,Zhigansk,RU,66.77,123.37,49.89,87,100,6.4
205,Grindavik,IS,63.84,-22.43,53.6,93,90,28.86
206,York,US,40.13,-77.0,73.4,53,1,3.36
207,Kozhva,RU,65.11,57.05,50.97,98,100,3.33
208,Liuzhou,CN,24.31,109.39,84.63,63,0,6.04
209,Niteroi,BR,-22.88,-43.1,78.8,61,0,2.24
210,Senneterre,CA,48.38,-77.23,51.8,76,40,4.7
211,Upernavik,GL,72.79,-56.15,39.87,88,100,10.22
212,Khani,GE,41.96,42.96,64.4,100,90,1.12
213,Kalmunai,LK,7.42,81.82,80.01,75,100,1.99
214,Juneau,US,58.3,-134.42,51.8,93,90,12.75
215,Mutata,CO,7.24,-76.44,75.58,80,100,2.84
216,Vila Velha,BR,-20.33,-40.29,73.4,88,40,6.93
217,Bandarbeyla,SO,9.49,50.81,77.29,73,100,19.64
218,Cabedelo,BR,-6.98,-34.83,73.4,94,20,8.05
219,Tomakomai,JP,42.64,141.6,62.6,77,75,4.7
220,Calbuco,CL,-41.77,-73.13,39.2,93,0,4.7
221,Flinders,AU,-34.58,150.86,66.99,63,21,8.01
222,North Bend,US,43.41,-124.22,72.0,67,1,21.92
223,Aswan,EG,24.09,32.91,83.93,25,0,7.0
224,Kerman,IR,30.28,57.08,60.8,29,0,9.17
225,Cairns,AU,-16.92,145.77,77.0,64,90,17.22
226,Okha,RU,53.57,142.95,59.38,65,98,12.26
227,Samarai,PG,-10.62,150.67,78.78,88,96,18.43
228,Beloha,MG,-25.17,45.05,69.67,62,0,4.38
229,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,74.46,79,99,1.86
230,Ancud,CL,-41.87,-73.82,46.0,95,10,8.99
231,Harper,LR,4.38,-7.72,75.43,82,100,9.86
232,Luderitz,NA,-26.65,15.16,54.57,40,0,18.19
233,Bengkulu,ID,-3.8,102.27,80.4,74,100,2.71
234,Bana,CM,5.15,10.28,60.51,100,95,2.57
235,Iqaluit,CA,63.75,-68.51,53.6,58,20,10.29
